
                       mean       std    median      2.5%     97.5%     n_eff     r_hat
covariance_1[0,0]      1.00      0.00      1.00      1.00      1.00       nan       nan
covariance_1[0,1]      0.00      0.00      0.00      0.00      0.00       nan       nan
covariance_1[0,2]      0.00      0.00      0.00      0.00      0.00       nan       nan
covariance_1[0,3]      0.00      0.00      0.00      0.00      0.00       nan       nan
covariance_1[0,4]      0.00      0.00      0.00      0.00      0.00       nan       nan
covariance_1[1,0]     -0.63      0.06     -0.63     -0.75     -0.50   1970.67      1.00
covariance_1[1,1]      0.77      0.05      0.77      0.67      0.88   1998.52      1.00
covariance_1[1,2]      0.00      0.00      0.00      0.00      0.00       nan       nan
covariance_1[1,3]      0.00      0.00      0.00      0.00      0.00       nan       nan
covariance_1[1,4]      0.00      0.00      0.00      0.00      0.00       nan       nan
covariance_1[2,0]     -0.50      0.05     -0.50     -0.60     -0.40   2290.33      1.00
covariance_1[2,1]      0.77      0.03      0.77      0.71      0.82   2289.77      1.00
covariance_1[2,2]      0.40      0.02      0.39      0.34      0.44   2337.26      1.00
covariance_1[2,3]      0.00      0.00      0.00      0.00      0.00       nan       nan
covariance_1[2,4]      0.00      0.00      0.00      0.00      0.00       nan       nan
covariance_1[3,0]     -0.45      0.04     -0.45     -0.53     -0.36   2207.83      1.00
covariance_1[3,1]      0.68      0.02      0.68      0.64      0.73   2230.11      1.00
covariance_1[3,2]      0.52      0.02      0.51      0.48      0.55   2949.87      1.00
covariance_1[3,3]      0.25      0.01      0.25      0.23      0.27   3142.24      1.00
covariance_1[3,4]      0.00      0.00      0.00      0.00      0.00       nan       nan
covariance_1[4,0]      0.18      0.10      0.18     -0.01      0.36   3950.87      1.00
covariance_1[4,1]     -0.43      0.06     -0.44     -0.56     -0.31   2558.68      1.00
covariance_1[4,2]     -0.30      0.05     -0.30     -0.39     -0.20   2675.29      1.00
covariance_1[4,3]     -0.27      0.04     -0.27     -0.34     -0.20   2415.44      1.00
covariance_1[4,4]      0.77      0.06      0.77      0.66      0.90   1999.71      1.00
covariance_2[0,0]      1.00      0.00      1.00      1.00      1.00       nan       nan
covariance_2[0,1]      0.00      0.00      0.00      0.00      0.00       nan       nan
covariance_2[0,2]      0.00      0.00      0.00      0.00      0.00       nan       nan
covariance_2[0,3]      0.00      0.00      0.00      0.00      0.00       nan       nan
covariance_2[0,4]      0.00      0.00      0.00      0.00      0.00       nan       nan
covariance_2[1,0]     -0.01      0.11     -0.01     -0.23      0.20   7231.77      1.00
covariance_2[1,1]      0.99      0.01      1.00      0.98      1.00   1791.16      1.00
covariance_2[1,2]      0.00      0.00      0.00      0.00      0.00       nan       nan
covariance_2[1,3]      0.00      0.00      0.00      0.00      0.00       nan       nan
covariance_2[1,4]      0.00      0.00      0.00      0.00      0.00       nan       nan
covariance_2[2,0]     -0.03      0.11     -0.03     -0.24      0.19   6339.41      1.00
covariance_2[2,1]     -0.15      0.11     -0.15     -0.37      0.06   6362.43      1.00
covariance_2[2,2]      0.98      0.02      0.98      0.93      1.00   3331.08      1.00
covariance_2[2,3]      0.00      0.00      0.00      0.00      0.00       nan       nan
covariance_2[2,4]      0.00      0.00      0.00      0.00      0.00       nan       nan
covariance_2[3,0]     -0.01      0.11     -0.01     -0.21      0.22   7072.60      1.00
covariance_2[3,1]     -0.15      0.11     -0.16     -0.38      0.06   6334.32      1.00
covariance_2[3,2]     -0.04      0.11     -0.04     -0.24      0.18   6259.12      1.00
covariance_2[3,3]      0.97      0.02      0.97      0.92      1.00   3058.03      1.00
covariance_2[3,4]      0.00      0.00      0.00      0.00      0.00       nan       nan
covariance_2[4,0]      0.10      0.11      0.10     -0.12      0.30   6703.39      1.00
covariance_2[4,1]     -0.02      0.11     -0.02     -0.23      0.20   5484.83      1.00
covariance_2[4,2]      0.09      0.11      0.09     -0.11      0.31   6022.44      1.00
covariance_2[4,3]     -0.04      0.11     -0.04     -0.25      0.16   5873.44      1.00
covariance_2[4,4]      0.97      0.02      0.97      0.92      1.00   2336.95      1.00
          mu[0,0]     -0.04      0.00     -0.04     -0.04     -0.04   6702.30      1.00
          mu[0,1]      0.04      0.00      0.04      0.04      0.05   6916.05      1.00
          mu[0,2]      0.03      0.00      0.03      0.03      0.03   6849.96      1.00
          mu[0,3]      0.06      0.00      0.06      0.05      0.06   6536.37      1.00
          mu[0,4]     -0.00      0.00     -0.00     -0.01     -0.00   4327.76      1.00
          mu[1,0]     -0.00      0.00     -0.00     -0.01      0.00   8686.11      1.00
          mu[1,1]     -0.00      0.00     -0.00     -0.00      0.00   4189.17      1.00
          mu[1,2]     -0.00      0.00     -0.00     -0.00      0.00   3526.29      1.00
          mu[1,3]     -0.00      0.00     -0.00     -0.00      0.00   3650.55      1.00
          mu[1,4]      0.00      0.00      0.00     -0.00      0.00   3942.83      1.00
     sigma[0,0,0]      0.00      0.00      0.00      0.00      0.00   5340.54      1.00
     sigma[0,0,1]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma[0,0,2]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma[0,0,3]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma[0,0,4]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma[0,1,0]     -0.00      0.00     -0.00     -0.00     -0.00   1970.38      1.00
     sigma[0,1,1]      0.00      0.00      0.00      0.00      0.00   3103.79      1.00
     sigma[0,1,2]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma[0,1,3]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma[0,1,4]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma[0,2,0]     -0.00      0.00     -0.00     -0.00     -0.00   2150.92      1.00
     sigma[0,2,1]      0.00      0.00      0.00      0.00      0.00   2375.86      1.00
     sigma[0,2,2]      0.00      0.00      0.00      0.00      0.00   3116.17      1.00
     sigma[0,2,3]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma[0,2,4]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma[0,3,0]     -0.00      0.00     -0.00     -0.00     -0.00   2098.37      1.00
     sigma[0,3,1]      0.00      0.00      0.00      0.00      0.00   2543.01      1.00
     sigma[0,3,2]      0.00      0.00      0.00      0.00      0.00   2627.54      1.00
     sigma[0,3,3]      0.00      0.00      0.00      0.00      0.00   2625.22      1.00
     sigma[0,3,4]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma[0,4,0]      0.00      0.00      0.00     -0.00      0.00   3453.99      1.00
     sigma[0,4,1]     -0.00      0.00     -0.00     -0.00     -0.00   2184.38      1.00
     sigma[0,4,2]     -0.00      0.00     -0.00     -0.00     -0.00   2123.42      1.00
     sigma[0,4,3]     -0.00      0.00     -0.00     -0.00     -0.00   2041.77      1.00
     sigma[0,4,4]      0.00      0.00      0.00      0.00      0.00   4480.04      1.00
     sigma[1,0,0]      0.00      0.00      0.00      0.00      0.00   6597.43      1.00
     sigma[1,0,1]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma[1,0,2]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma[1,0,3]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma[1,0,4]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma[1,1,0]     -0.00      0.00     -0.00     -0.00      0.00   6805.10      1.00
     sigma[1,1,1]      0.00      0.00      0.00      0.00      0.00   6889.86      1.00
     sigma[1,1,2]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma[1,1,3]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma[1,1,4]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma[1,2,0]     -0.00      0.00     -0.00     -0.00      0.00   5989.69      1.00
     sigma[1,2,1]     -0.00      0.00     -0.00     -0.00      0.00   5634.61      1.00
